Strategy,PitLaps,RaceTime
SOFT-HARD,[33],5643.237745454544
HARD-SOFT,[24],5643.237745454548
SOFT-HARD,[34],5643.339418181817
HARD-SOFT,[23],5643.33941818182
SOFT-HARD,[32],5643.361024242423
HARD-SOFT,[25],5643.361024242424
SOFT-HARD,[35],5643.666042424242
HARD-SOFT,[22],5643.666042424244
SOFT-HARD,[31],5643.709254545453
HARD-SOFT,[26],5643.709254545454
SOFT-HARD,[36],5644.217618181817
HARD-SOFT,[21],5644.217618181819
SOFT-HARD,[30],5644.282436363635
HARD-SOFT,[27],5644.282436363638
SOFT-HARD,[37],5644.994145454544
HARD-SOFT,[20],5644.994145454546
SOFT-HARD,[29],5645.080569696968
HARD-SOFT,[28],5645.080569696971
MEDIUM-HARD-SOFT,"[13, 31]",5645.452224242424
HARD-MEDIUM-SOFT,"[18, 31]",5645.452224242424
MEDIUM-SOFT-HARD,"[13, 39]",5645.452224242424
HARD-SOFT-MEDIUM,"[18, 44]",5645.4522242424255
MEDIUM-SOFT-HARD,"[13, 38]",5645.458666666665
MEDIUM-HARD-SOFT,"[13, 32]",5645.4586666666655
HARD-MEDIUM-SOFT,"[19, 32]",5645.458666666667
HARD-SOFT-MEDIUM,"[19, 44]",5645.458666666667
MEDIUM-HARD-SOFT,"[12, 31]",5645.5079878787865
MEDIUM-SOFT-HARD,"[12, 38]",5645.507987878787
HARD-MEDIUM-SOFT,"[19, 31]",5645.507987878788
MEDIUM-HARD-SOFT,"[14, 32]",5645.58878181818
MEDIUM-SOFT-HARD,"[14, 39]",5645.588781818181
HARD-MEDIUM-SOFT,"[18, 32]",5645.588781818182
HARD-SOFT-MEDIUM,"[18, 43]",5645.588781818183
MEDIUM-HARD-SOFT,"[12, 30]",5645.596381818181
MEDIUM-SOFT-HARD,"[12, 39]",5645.596381818182
HARD-MEDIUM-SOFT,"[18, 30]",5645.596381818183
MEDIUM-SOFT-HARD,"[12, 37]",5645.644545454545
MEDIUM-HARD-SOFT,"[12, 32]",5645.644545454545
HARD-MEDIUM-SOFT,"[20, 32]",5645.644545454545
MEDIUM-SOFT-HARD,"[13, 40]",5645.670733333332
MEDIUM-HARD-SOFT,"[13, 30]",5645.6707333333325
HARD-SOFT-MEDIUM,"[17, 44]",5645.670733333334
HARD-MEDIUM-SOFT,"[17, 30]",5645.670733333334
SOFT-HARD-MEDIUM,"[24, 43]",5645.690060606059
MEDIUM-SOFT-HARD,"[14, 38]",5645.690060606059
MEDIUM-SOFT-HARD,"[13, 37]",5645.690060606059
SOFT-MEDIUM-HARD,"[24, 38]",5645.690060606059
