Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeSec
0 days 00:26:16.314000,VER,1,0 days 00:01:33.621000,2.0,1.0,,,0 days 00:00:29.993000,0 days 00:00:40.202000,0 days 00:00:23.426000,0 days 00:25:12.686000,0 days 00:25:52.888000,0 days 00:26:16.314000,233.0,267.0,281.0,317.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:24:42.693000,2022-03-18 15:09:42.725,1,,False,,False,True,93.621
0 days 00:30:25.285000,VER,1,0 days 00:01:33.691000,4.0,1.0,,,0 days 00:00:30.185000,0 days 00:00:40.076000,0 days 00:00:23.430000,0 days 00:29:21.779000,0 days 00:30:01.855000,0 days 00:30:25.285000,232.0,267.0,282.0,315.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:28:51.594000,2022-03-18 15:13:51.626,1,,False,,False,True,93.691
0 days 00:32:07.796000,VER,1,0 days 00:01:42.511000,5.0,1.0,,0 days 00:32:06.008000,0 days 00:00:32.347000,0 days 00:00:42.273000,0 days 00:00:27.891000,0 days 00:30:57.632000,0 days 00:31:39.905000,0 days 00:32:07.796000,218.0,253.0,,252.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:30:25.285000,2022-03-18 15:15:25.317,1,,False,,False,False,102.511
0 days 00:46:20.761000,VER,1,0 days 00:01:31.936000,7.0,2.0,,,0 days 00:00:29.376000,0 days 00:00:39.507000,0 days 00:00:23.053000,0 days 00:45:18.201000,0 days 00:45:57.708000,0 days 00:46:20.761000,235.0,266.0,282.0,314.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:44:48.825000,2022-03-18 15:29:48.857,1,,False,,False,True,91.936
0 days 00:48:09.442000,VER,1,0 days 00:01:48.681000,8.0,2.0,,0 days 00:48:07.646000,0 days 00:00:35.829000,0 days 00:00:44.810000,0 days 00:00:28.042000,0 days 00:46:56.590000,0 days 00:47:41.400000,0 days 00:48:09.442000,204.0,216.0,,287.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:46:20.761000,2022-03-18 15:31:20.793,1,,False,,False,False,108.681
0 days 01:00:35.088000,VER,1,0 days 00:02:09.568000,10.0,4.0,0 days 00:58:46.187000,,0 days 00:01:01.145000,0 days 00:00:43.033000,0 days 00:00:25.390000,0 days 00:59:26.665000,0 days 01:00:09.698000,0 days 01:00:35.088000,227.0,254.0,270.0,203.0,False,SOFT,5.0,False,Red Bull Racing,0 days 00:58:25.520000,2022-03-18 15:43:25.552,1,,False,,False,False,129.568
0 days 01:02:12.253000,VER,1,0 days 00:01:37.165000,11.0,4.0,,,0 days 00:00:31.045000,0 days 00:00:41.616000,0 days 00:00:24.504000,0 days 01:01:06.133000,0 days 01:01:47.749000,0 days 01:02:12.253000,229.0,257.0,269.0,290.0,False,SOFT,6.0,False,Red Bull Racing,0 days 01:00:35.088000,2022-03-18 15:45:35.120,1,,False,,False,True,97.165
0 days 01:03:49.385000,VER,1,0 days 00:01:37.132000,12.0,4.0,,,0 days 00:00:31.174000,0 days 00:00:41.719000,0 days 00:00:24.239000,0 days 01:02:43.427000,0 days 01:03:25.146000,0 days 01:03:49.385000,229.0,255.0,269.0,293.0,False,SOFT,7.0,False,Red Bull Racing,0 days 01:02:12.253000,2022-03-18 15:47:12.285,1,,False,,False,True,97.132
0 days 01:05:26.522000,VER,1,0 days 00:01:37.137000,13.0,4.0,,,0 days 00:00:31.132000,0 days 00:00:41.819000,0 days 00:00:24.186000,0 days 01:04:20.517000,0 days 01:05:02.336000,0 days 01:05:26.522000,229.0,254.0,270.0,293.0,False,SOFT,8.0,False,Red Bull Racing,0 days 01:03:49.385000,2022-03-18 15:48:49.417,1,,False,,False,True,97.137
0 days 01:07:04.265000,VER,1,0 days 00:01:37.743000,14.0,4.0,,,0 days 00:00:31.201000,0 days 00:00:42.097000,0 days 00:00:24.445000,0 days 01:05:57.723000,0 days 01:06:39.820000,0 days 01:07:04.265000,229.0,254.0,270.0,293.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:05:26.522000,2022-03-18 15:50:26.554,1,,False,,False,True,97.743
0 days 01:08:41.763000,VER,1,0 days 00:01:37.498000,15.0,4.0,,,0 days 00:00:31.211000,0 days 00:00:42.040000,0 days 00:00:24.247000,0 days 01:07:35.476000,0 days 01:08:17.516000,0 days 01:08:41.763000,229.0,255.0,270.0,293.0,False,SOFT,10.0,False,Red Bull Racing,0 days 01:07:04.265000,2022-03-18 15:52:04.297,1,,False,,False,True,97.498
0 days 01:10:19.381000,VER,1,0 days 00:01:37.618000,16.0,4.0,,,0 days 00:00:31.243000,0 days 00:00:42.119000,0 days 00:00:24.256000,0 days 01:09:13.006000,0 days 01:09:55.125000,0 days 01:10:19.381000,227.0,250.0,270.0,296.0,False,SOFT,11.0,False,Red Bull Racing,0 days 01:08:41.763000,2022-03-18 15:53:41.795,1,,False,,False,True,97.618
0 days 01:11:57.199000,VER,1,0 days 00:01:37.818000,17.0,4.0,,,0 days 00:00:31.311000,0 days 00:00:42.249000,0 days 00:00:24.258000,0 days 01:10:50.692000,0 days 01:11:32.941000,0 days 01:11:57.199000,229.0,258.0,285.0,295.0,False,SOFT,12.0,False,Red Bull Racing,0 days 01:10:19.381000,2022-03-18 15:55:19.413,1,,False,,False,True,97.818
0 days 01:13:34.711000,VER,1,0 days 00:01:37.512000,18.0,4.0,,,0 days 00:00:30.822000,0 days 00:00:42.440000,0 days 00:00:24.250000,0 days 01:12:28.021000,0 days 01:13:10.461000,0 days 01:13:34.711000,230.0,257.0,274.0,312.0,False,SOFT,13.0,False,Red Bull Racing,0 days 01:11:57.199000,2022-03-18 15:56:57.231,1,,False,,False,True,97.512
