Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeSec
0 days 00:19:35.734000,RIC,3,0 days 00:01:48.546000,2.0,1,,,0 days 00:00:32.338000,0 days 00:00:46.736000,0 days 00:00:29.472000,0 days 00:18:19.526000,0 days 00:19:06.262000,0 days 00:19:35.734000,221.0,219.0,279.0,293.0,True,HARD,2.0,True,McLaren,0 days 00:17:47.188000,2022-03-18 15:02:47.220,1,,False,,False,True,108.546
0 days 00:21:11.789000,RIC,3,0 days 00:01:36.055000,3.0,1,,,0 days 00:00:30.678000,0 days 00:00:41.412000,0 days 00:00:23.965000,0 days 00:20:06.412000,0 days 00:20:47.824000,0 days 00:21:11.789000,232.0,261.0,279.0,307.0,True,HARD,3.0,True,McLaren,0 days 00:19:35.734000,2022-03-18 15:04:35.766,1,,False,,False,True,96.055
0 days 00:23:07.797000,RIC,3,0 days 00:01:56.008000,4.0,1,,,0 days 00:00:39.347000,0 days 00:00:51.338000,0 days 00:00:25.323000,0 days 00:21:51.136000,0 days 00:22:42.474000,0 days 00:23:07.797000,212.0,242.0,279.0,280.0,False,HARD,4.0,True,McLaren,0 days 00:21:11.789000,2022-03-18 15:06:11.821,1,,False,,False,True,116.008
0 days 00:25:04.109000,RIC,3,0 days 00:01:56.312000,5.0,1,,,0 days 00:00:33.296000,0 days 00:00:46.127000,0 days 00:00:36.889000,0 days 00:23:41.093000,0 days 00:24:27.220000,0 days 00:25:04.109000,220.0,234.0,279.0,306.0,False,HARD,5.0,True,McLaren,0 days 00:23:07.797000,2022-03-18 15:08:07.829,1,,False,,False,True,116.312
0 days 00:26:42.543000,RIC,3,0 days 00:01:38.434000,6.0,1,,,0 days 00:00:30.806000,0 days 00:00:42.134000,0 days 00:00:25.494000,0 days 00:25:34.915000,0 days 00:26:17.049000,0 days 00:26:42.543000,232.0,248.0,278.0,309.0,False,HARD,6.0,True,McLaren,0 days 00:25:04.109000,2022-03-18 15:10:04.141,1,,False,,False,True,98.434
0 days 00:28:29.456000,RIC,3,0 days 00:01:46.913000,7.0,1,,,0 days 00:00:30.965000,0 days 00:00:49.145000,0 days 00:00:26.803000,0 days 00:27:13.508000,0 days 00:28:02.653000,0 days 00:28:29.456000,233.0,175.0,278.0,307.0,False,HARD,7.0,True,McLaren,0 days 00:26:42.543000,2022-03-18 15:11:42.575,1,,False,,False,True,106.913
0 days 00:19:16.226000,NOR,4,0 days 00:01:35.486000,2.0,1,,,0 days 00:00:30.753000,0 days 00:00:40.918000,0 days 00:00:23.815000,0 days 00:18:11.493000,0 days 00:18:52.411000,0 days 00:19:16.226000,232.0,262.0,277.0,306.0,True,HARD,2.0,True,McLaren,0 days 00:17:40.740000,2022-03-18 15:02:40.772,1,,False,,False,True,95.486
0 days 00:21:24.211000,NOR,4,0 days 00:02:07.985000,3.0,1,,,0 days 00:00:42.863000,0 days 00:00:56.877000,0 days 00:00:28.245000,0 days 00:19:59.089000,0 days 00:20:55.966000,0 days 00:21:24.211000,154.0,164.0,280.0,225.0,False,HARD,3.0,True,McLaren,0 days 00:19:16.226000,2022-03-18 15:04:16.258,1,,False,,False,True,127.985
0 days 00:22:59.386000,NOR,4,0 days 00:01:35.175000,4.0,1,,,0 days 00:00:30.787000,0 days 00:00:40.590000,0 days 00:00:23.798000,0 days 00:21:54.998000,0 days 00:22:35.588000,0 days 00:22:59.386000,228.0,263.0,280.0,307.0,True,HARD,4.0,True,McLaren,0 days 00:21:24.211000,2022-03-18 15:06:24.243,1,,False,,False,True,95.175
0 days 00:25:09.337000,NOR,4,0 days 00:02:09.951000,5.0,1,,,0 days 00:00:44.947000,0 days 00:00:59.121000,0 days 00:00:25.883000,0 days 00:23:44.333000,0 days 00:24:43.454000,0 days 00:25:09.337000,157.0,206.0,279.0,259.0,False,HARD,5.0,True,McLaren,0 days 00:22:59.386000,2022-03-18 15:07:59.418,1,,False,,False,True,129.951
