Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeSec
0 days 01:02:12.253000,VER,1,0 days 00:01:37.165000,11.0,2,,,0 days 00:00:31.045000,0 days 00:00:41.616000,0 days 00:00:24.504000,0 days 01:01:06.133000,0 days 01:01:47.749000,0 days 01:02:12.253000,229.0,257.0,269.0,290.0,False,SOFT,6.0,False,Red Bull Racing,0 days 01:00:35.088000,2022-03-18 15:45:35.120,1,,False,,False,True,97.165
0 days 01:03:49.385000,VER,1,0 days 00:01:37.132000,12.0,2,,,0 days 00:00:31.174000,0 days 00:00:41.719000,0 days 00:00:24.239000,0 days 01:02:43.427000,0 days 01:03:25.146000,0 days 01:03:49.385000,229.0,255.0,269.0,293.0,False,SOFT,7.0,False,Red Bull Racing,0 days 01:02:12.253000,2022-03-18 15:47:12.285,1,,False,,False,True,97.132
0 days 01:05:26.522000,VER,1,0 days 00:01:37.137000,13.0,2,,,0 days 00:00:31.132000,0 days 00:00:41.819000,0 days 00:00:24.186000,0 days 01:04:20.517000,0 days 01:05:02.336000,0 days 01:05:26.522000,229.0,254.0,270.0,293.0,False,SOFT,8.0,False,Red Bull Racing,0 days 01:03:49.385000,2022-03-18 15:48:49.417,1,,False,,False,True,97.137
0 days 01:07:04.265000,VER,1,0 days 00:01:37.743000,14.0,2,,,0 days 00:00:31.201000,0 days 00:00:42.097000,0 days 00:00:24.445000,0 days 01:05:57.723000,0 days 01:06:39.820000,0 days 01:07:04.265000,229.0,254.0,270.0,293.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:05:26.522000,2022-03-18 15:50:26.554,1,,False,,False,True,97.743
0 days 01:08:41.763000,VER,1,0 days 00:01:37.498000,15.0,2,,,0 days 00:00:31.211000,0 days 00:00:42.040000,0 days 00:00:24.247000,0 days 01:07:35.476000,0 days 01:08:17.516000,0 days 01:08:41.763000,229.0,255.0,270.0,293.0,False,SOFT,10.0,False,Red Bull Racing,0 days 01:07:04.265000,2022-03-18 15:52:04.297,1,,False,,False,True,97.498
0 days 01:10:19.381000,VER,1,0 days 00:01:37.618000,16.0,2,,,0 days 00:00:31.243000,0 days 00:00:42.119000,0 days 00:00:24.256000,0 days 01:09:13.006000,0 days 01:09:55.125000,0 days 01:10:19.381000,227.0,250.0,270.0,296.0,False,SOFT,11.0,False,Red Bull Racing,0 days 01:08:41.763000,2022-03-18 15:53:41.795,1,,False,,False,True,97.618
0 days 01:11:57.199000,VER,1,0 days 00:01:37.818000,17.0,2,,,0 days 00:00:31.311000,0 days 00:00:42.249000,0 days 00:00:24.258000,0 days 01:10:50.692000,0 days 01:11:32.941000,0 days 01:11:57.199000,229.0,258.0,285.0,295.0,False,SOFT,12.0,False,Red Bull Racing,0 days 01:10:19.381000,2022-03-18 15:55:19.413,1,,False,,False,True,97.818
0 days 01:13:34.711000,VER,1,0 days 00:01:37.512000,18.0,2,,,0 days 00:00:30.822000,0 days 00:00:42.440000,0 days 00:00:24.250000,0 days 01:12:28.021000,0 days 01:13:10.461000,0 days 01:13:34.711000,230.0,257.0,274.0,312.0,False,SOFT,13.0,False,Red Bull Racing,0 days 01:11:57.199000,2022-03-18 15:56:57.231,1,,False,,False,True,97.512
0 days 01:15:12.335000,VER,1,0 days 00:01:37.624000,19.0,2,,,0 days 00:00:31.222000,0 days 00:00:42.199000,0 days 00:00:24.203000,0 days 01:14:05.933000,0 days 01:14:48.132000,0 days 01:15:12.335000,230.0,251.0,274.0,293.0,False,SOFT,14.0,False,Red Bull Racing,0 days 01:13:34.711000,2022-03-18 15:58:34.743,1,,False,,False,True,97.624
0 days 00:54:16.888000,NOR,4,0 days 00:01:39.087000,12.0,2,,,0 days 00:00:31.697000,0 days 00:00:42.985000,0 days 00:00:24.405000,0 days 00:53:09.498000,0 days 00:53:52.483000,0 days 00:54:16.888000,226.0,242.0,266.0,281.0,False,SOFT,6.0,False,McLaren,0 days 00:52:37.801000,2022-03-18 15:37:37.833,1,,False,,False,True,99.087
0 days 00:55:55.998000,NOR,4,0 days 00:01:39.110000,13.0,2,,,0 days 00:00:31.674000,0 days 00:00:42.930000,0 days 00:00:24.506000,0 days 00:54:48.562000,0 days 00:55:31.492000,0 days 00:55:55.998000,226.0,239.0,267.0,282.0,False,SOFT,7.0,False,McLaren,0 days 00:54:16.888000,2022-03-18 15:39:16.920,1,,False,,False,True,99.11
0 days 00:57:35.014000,NOR,4,0 days 00:01:39.016000,14.0,2,,,0 days 00:00:31.663000,0 days 00:00:42.861000,0 days 00:00:24.492000,0 days 00:56:27.661000,0 days 00:57:10.522000,0 days 00:57:35.014000,229.0,235.0,267.0,283.0,False,SOFT,8.0,False,McLaren,0 days 00:55:55.998000,2022-03-18 15:40:56.030,1,,False,,False,True,99.016
