Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeSec
0 days 00:20:00.406000,LAT,6,0 days 00:01:37.613000,2.0,1,,,0 days 00:00:31.421000,0 days 00:00:42.069000,0 days 00:00:24.123000,0 days 00:18:54.214000,0 days 00:19:36.283000,0 days 00:20:00.406000,233.0,265.0,278.0,311.0,True,MEDIUM,2.0,True,Williams,0 days 00:18:22.793000,2022-03-18 15:03:22.825,1,,False,,False,True,97.613
0 days 00:21:36.895000,LAT,6,0 days 00:01:36.489000,3.0,1,,,0 days 00:00:30.858000,0 days 00:00:41.736000,0 days 00:00:23.895000,0 days 00:20:31.264000,0 days 00:21:13,0 days 00:21:36.895000,230.0,263.0,281.0,309.0,True,MEDIUM,3.0,True,Williams,0 days 00:20:00.406000,2022-03-18 15:05:00.438,1,,False,,False,True,96.489
0 days 00:25:20.034000,LAT,6,0 days 00:01:37.010000,5.0,1,,,0 days 00:00:30.862000,0 days 00:00:41.872000,0 days 00:00:24.276000,0 days 00:24:13.886000,0 days 00:24:55.758000,0 days 00:25:20.034000,233.0,267.0,282.0,310.0,False,MEDIUM,5.0,True,Williams,0 days 00:23:43.024000,2022-03-18 15:08:43.056,1,,False,,False,True,97.01
0 days 00:19:51.060000,GAS,10,0 days 00:01:34.964000,2.0,1,,,0 days 00:00:30.272000,0 days 00:00:40.932000,0 days 00:00:23.760000,0 days 00:18:46.368000,0 days 00:19:27.300000,0 days 00:19:51.060000,232.0,265.0,280.0,312.0,True,MEDIUM,2.0,True,AlphaTauri,0 days 00:18:16.096000,2022-03-18 15:03:16.128,1,,False,,False,True,94.964
0 days 00:21:53.652000,GAS,10,0 days 00:02:02.592000,3.0,1,,,0 days 00:00:44.976000,0 days 00:00:52.316000,0 days 00:00:25.300000,0 days 00:20:36.036000,0 days 00:21:28.352000,0 days 00:21:53.652000,163.0,226.0,282.0,293.0,False,MEDIUM,3.0,True,AlphaTauri,0 days 00:19:51.060000,2022-03-18 15:04:51.092,1,,False,,False,True,122.592
0 days 00:23:28.749000,GAS,10,0 days 00:01:35.097000,4.0,1,,,0 days 00:00:30.291000,0 days 00:00:41.124000,0 days 00:00:23.682000,0 days 00:22:23.943000,0 days 00:23:05.067000,0 days 00:23:28.749000,233.0,264.0,283.0,314.0,False,MEDIUM,4.0,True,AlphaTauri,0 days 00:21:53.652000,2022-03-18 15:06:53.684,1,,False,,False,True,95.097
0 days 00:25:34.603000,GAS,10,0 days 00:02:05.854000,5.0,1,,,0 days 00:00:37.914000,0 days 00:01:00.420000,0 days 00:00:27.520000,0 days 00:24:06.663000,0 days 00:25:07.083000,0 days 00:25:34.603000,139.0,184.0,284.0,297.0,False,MEDIUM,5.0,True,AlphaTauri,0 days 00:23:28.749000,2022-03-18 15:08:28.781,1,,False,,False,True,125.854
0 days 00:27:09.508000,GAS,10,0 days 00:01:34.905000,6.0,1,,,0 days 00:00:30.327000,0 days 00:00:40.988000,0 days 00:00:23.590000,0 days 00:26:04.930000,0 days 00:26:45.918000,0 days 00:27:09.508000,234.0,266.0,286.0,314.0,True,MEDIUM,6.0,True,AlphaTauri,0 days 00:25:34.603000,2022-03-18 15:10:34.635,1,,False,,False,True,94.905
0 days 00:58:13.544000,ALO,14,0 days 00:01:38.236000,12.0,3,,,0 days 00:00:31.623000,0 days 00:00:42.297000,0 days 00:00:24.316000,0 days 00:57:06.931000,0 days 00:57:49.228000,0 days 00:58:13.544000,225.0,253.0,270.0,280.0,False,MEDIUM,7.0,False,Alpine,0 days 00:56:35.308000,2022-03-18 15:41:35.340,1,,False,,False,True,98.236
0 days 00:59:51.710000,ALO,14,0 days 00:01:38.166000,13.0,3,,,0 days 00:00:31.497000,0 days 00:00:42.235000,0 days 00:00:24.434000,0 days 00:58:45.041000,0 days 00:59:27.276000,0 days 00:59:51.710000,226.0,254.0,271.0,281.0,False,MEDIUM,8.0,False,Alpine,0 days 00:58:13.544000,2022-03-18 15:43:13.576,1,,False,,False,True,98.166
0 days 01:01:30.078000,ALO,14,0 days 00:01:38.368000,14.0,3,,,0 days 00:00:31.540000,0 days 00:00:42.439000,0 days 00:00:24.389000,0 days 01:00:23.250000,0 days 01:01:05.689000,0 days 01:01:30.078000,226.0,255.0,281.0,283.0,False,MEDIUM,9.0,False,Alpine,0 days 00:59:51.710000,2022-03-18 15:44:51.742,1,,False,,False,True,98.368
0 days 01:03:08.332000,ALO,14,0 days 00:01:38.254000,15.0,3,,,0 days 00:00:31.388000,0 days 00:00:42.454000,0 days 00:00:24.412000,0 days 01:02:01.466000,0 days 01:02:43.920000,0 days 01:03:08.332000,226.0,253.0,271.0,311.0,False,MEDIUM,10.0,False,Alpine,0 days 01:01:30.078000,2022-03-18 15:46:30.110,1,,False,,False,True,98.254
0 days 01:04:46.913000,ALO,14,0 days 00:01:38.581000,16.0,3,,,0 days 00:00:31.716000,0 days 00:00:42.495000,0 days 00:00:24.370000,0 days 01:03:40.048000,0 days 01:04:22.543000,0 days 01:04:46.913000,227.0,255.0,272.0,286.0,False,MEDIUM,11.0,False,Alpine,0 days 01:03:08.332000,2022-03-18 15:48:08.364,1,,False,,False,True,98.581
0 days 01:06:26.260000,ALO,14,0 days 00:01:39.347000,17.0,3,,,0 days 00:00:31.721000,0 days 00:00:42.667000,0 days 00:00:24.959000,0 days 01:05:18.634000,0 days 01:06:01.301000,0 days 01:06:26.260000,226.0,252.0,269.0,284.0,False,MEDIUM,12.0,False,Alpine,0 days 01:04:46.913000,2022-03-18 15:49:46.945,1,,False,,False,True,99.347
0 days 01:08:05.256000,ALO,14,0 days 00:01:38.996000,18.0,3,,,0 days 00:00:31.814000,0 days 00:00:42.590000,0 days 00:00:24.592000,0 days 01:06:58.074000,0 days 01:07:40.664000,0 days 01:08:05.256000,227.0,254.0,272.0,286.0,False,MEDIUM,13.0,False,Alpine,0 days 01:06:26.260000,2022-03-18 15:51:26.292,1,,False,,False,True,98.996
0 days 01:09:44.221000,ALO,14,0 days 00:01:38.965000,19.0,3,,,0 days 00:00:31.764000,0 days 00:00:42.805000,0 days 00:00:24.396000,0 days 01:08:37.020000,0 days 01:09:19.825000,0 days 01:09:44.221000,227.0,254.0,273.0,287.0,False,MEDIUM,14.0,False,Alpine,0 days 01:08:05.256000,2022-03-18 15:53:05.288,1,,False,,False,True,98.965
0 days 00:22:11.109000,TSU,22,0 days 00:01:35.167000,2.0,1,,,0 days 00:00:30.509000,0 days 00:00:40.915000,0 days 00:00:23.743000,0 days 00:21:06.451000,0 days 00:21:47.366000,0 days 00:22:11.109000,231.0,263.0,281.0,311.0,True,MEDIUM,2.0,True,AlphaTauri,0 days 00:20:35.942000,2022-03-18 15:05:35.974,1,,False,,False,True,95.167
0 days 00:24:17.167000,TSU,22,0 days 00:02:06.058000,3.0,1,,,0 days 00:00:38.159000,0 days 00:00:59.070000,0 days 00:00:28.829000,0 days 00:22:49.268000,0 days 00:23:48.338000,0 days 00:24:17.167000,146.0,156.0,281.0,260.0,False,MEDIUM,3.0,True,AlphaTauri,0 days 00:22:11.109000,2022-03-18 15:07:11.141,1,,False,,False,True,126.058
0 days 00:26:07.715000,TSU,22,0 days 00:01:50.548000,4.0,1,,,0 days 00:00:35.306000,0 days 00:00:49.476000,0 days 00:00:25.766000,0 days 00:24:52.473000,0 days 00:25:41.949000,0 days 00:26:07.715000,148.0,226.0,282.0,311.0,False,MEDIUM,4.0,True,AlphaTauri,0 days 00:24:17.167000,2022-03-18 15:09:17.199,1,,False,,False,True,110.548
0 days 00:27:42.718000,TSU,22,0 days 00:01:35.003000,5.0,1,,,0 days 00:00:30.482000,0 days 00:00:40.738000,0 days 00:00:23.783000,0 days 00:26:38.197000,0 days 00:27:18.935000,0 days 00:27:42.718000,230.0,265.0,281.0,310.0,True,MEDIUM,5.0,True,AlphaTauri,0 days 00:26:07.715000,2022-03-18 15:11:07.747,1,,False,,False,True,95.003
0 days 00:29:48.028000,TSU,22,0 days 00:02:05.310000,6.0,1,,,0 days 00:00:38.873000,0 days 00:00:59.061000,0 days 00:00:27.376000,0 days 00:28:21.591000,0 days 00:29:20.652000,0 days 00:29:48.028000,142.0,191.0,285.0,253.0,False,MEDIUM,6.0,True,AlphaTauri,0 days 00:27:42.718000,2022-03-18 15:12:42.750,1,,False,,False,True,125.31
