Strategy,PitLap,RaceTime
SOFT-HARD,10,5702.985890909092
SOFT-HARD,11,5697.91367878788
SOFT-HARD,12,5693.066418181818
SOFT-HARD,13,5688.444109090909
SOFT-HARD,14,5684.046751515151
SOFT-HARD,15,5679.874345454546
SOFT-HARD,16,5675.926890909091
SOFT-HARD,17,5672.204387878787
SOFT-HARD,18,5668.706836363635
SOFT-HARD,19,5665.434236363636
SOFT-HARD,20,5662.386587878787
SOFT-HARD,21,5659.563890909089
SOFT-HARD,22,5656.966145454544
SOFT-HARD,23,5654.593351515151
SOFT-HARD,24,5652.445509090908
SOFT-HARD,25,5650.522618181817
SOFT-HARD,26,5648.824678787877
SOFT-HARD,27,5647.35169090909
SOFT-HARD,28,5646.1036545454535
SOFT-HARD,29,5645.080569696968
SOFT-HARD,30,5644.282436363635
SOFT-HARD,31,5643.709254545453
SOFT-HARD,32,5643.361024242423
SOFT-HARD,33,5643.237745454544
SOFT-HARD,34,5643.339418181817
SOFT-HARD,35,5643.666042424242
SOFT-HARD,36,5644.217618181817
SOFT-HARD,37,5644.994145454544
SOFT-HARD,38,5645.995624242422
SOFT-HARD,39,5647.222054545454
MEDIUM-HARD,10,5707.993224242425
MEDIUM-HARD,11,5703.922478787879
MEDIUM-HARD,12,5700.167727272728
MEDIUM-HARD,13,5696.72896969697
MEDIUM-HARD,14,5693.606206060606
MEDIUM-HARD,15,5690.799436363636
MEDIUM-HARD,16,5688.308660606061
MEDIUM-HARD,17,5686.1338787878785
MEDIUM-HARD,18,5684.27509090909
MEDIUM-HARD,19,5682.732296969696
MEDIUM-HARD,20,5681.505496969697
MEDIUM-HARD,21,5680.59469090909
MEDIUM-HARD,22,5679.999878787878
MEDIUM-HARD,23,5679.72106060606
MEDIUM-HARD,24,5679.758236363636
MEDIUM-HARD,25,5680.111406060605
MEDIUM-HARD,26,5680.780569696968
MEDIUM-HARD,27,5681.7657272727265
MEDIUM-HARD,28,5683.066878787878
MEDIUM-HARD,29,5684.684024242423
MEDIUM-HARD,30,5686.617163636362
MEDIUM-HARD,31,5688.866296969695
MEDIUM-HARD,32,5691.431424242423
MEDIUM-HARD,33,5694.312545454544
MEDIUM-HARD,34,5697.50966060606
MEDIUM-HARD,35,5701.022769696969
MEDIUM-HARD,36,5704.851872727272
MEDIUM-HARD,37,5708.996969696968
MEDIUM-HARD,38,5713.45806060606
MEDIUM-HARD,39,5718.235145454544
SOFT-MEDIUM,10,5765.887272727273
SOFT-MEDIUM,11,5758.19416969697
SOFT-MEDIUM,12,5750.781781818183
SOFT-MEDIUM,13,5743.65010909091
SOFT-MEDIUM,14,5736.799151515151
SOFT-MEDIUM,15,5730.22890909091
SOFT-MEDIUM,16,5723.9393818181825
SOFT-MEDIUM,17,5717.93056969697
SOFT-MEDIUM,18,5712.202472727274
SOFT-MEDIUM,19,5706.755090909091
SOFT-MEDIUM,20,5701.588424242425
SOFT-MEDIUM,21,5696.702472727273
SOFT-MEDIUM,22,5692.0972363636365
SOFT-MEDIUM,23,5687.772715151516
SOFT-MEDIUM,24,5683.728909090909
SOFT-MEDIUM,25,5679.965818181818
SOFT-MEDIUM,26,5676.483442424243
SOFT-MEDIUM,27,5673.281781818182
SOFT-MEDIUM,28,5670.360836363637
SOFT-MEDIUM,29,5667.720606060607
SOFT-MEDIUM,30,5665.361090909091
SOFT-MEDIUM,31,5663.282290909091
SOFT-MEDIUM,32,5661.484206060606
SOFT-MEDIUM,33,5659.9668363636365
SOFT-MEDIUM,34,5658.730181818182
SOFT-MEDIUM,35,5657.774242424242
SOFT-MEDIUM,36,5657.099018181818
SOFT-MEDIUM,37,5656.70450909091
SOFT-MEDIUM,38,5656.590715151515
SOFT-MEDIUM,39,5656.757636363636
